647700;suit gun man sky ;10;som;1,1,2,1,1,2,2,2,2,1
647700;suit gun man sky pistol belt ;3;som;2,1,1
647700;suit gun man sky pistol belt men ;6;som;1,1,2,2,2,1
20379;tree snow sky ;1;top;1
127721;dark lights green ;0;som;
127721;dark lights ;20;som;1,2,3,2,3,3,2,3,2,2,2,2,1,1,2,2,1,2,2,3
127721;dark lights wire ;12;som;2,2,3,4,4,2,3,3,3,4,4,3
127721;dark lights people ;10;som;2,2,1,4,4,3,1,1,3,3
900219;words black ;0;top;
900219;words black stone ;10;top;1,2,2,3,2,4,4,1,3,3
900219;words black stone sign ;17;top;3,4,2,4,4,4,4,5,5,2,2,3,4,2,5,1,1
900219;words black stone sign advertisement ;17;top;1,2,1,1,2,1,1,4,2,4,2,1,1,1,1,2,1
958292;bald man suit ;2;som;1,1
958292;bald man suit sunglasses ;15;som;1,1,1,1,1,1,1,3,2,2,1,1,2,2,1
1098994;truck couple field ;1;top;1
990334;man tent sleeping ;1;som;1
667883;ski mountain sky ;1;top;1
667883;ski mountain sky pink ;0;top;
920562;fish fishing boat water man ;1;som;4
799783;monk church praying ;0;som;
799783;monk church praying orange ;0;som;
799783;monks church praying;0;som;
799783;monks church praying cross ;1;som;1
799783;monks church praying cross bible chairs ;0;som;
799783;monks church praying  chairs ;0;som;
799783;monks church praying light ;1;som;3
799783;monks church praying light curtain ;0;som;
799783;monk church praying wood chairs ;0;som;
799783;monk church praying wood chair curtain ;6;som;1,1,1,2,1,3
595922;cameraman advertisements champions ;0;top;
595922;cameraman advertisements champions wizard ;0;top;
595922;cameraman advertisements champions crowd ;2;top;2,1
595922;cameraman advertisements  crowd ;0;top;
595922;cameraman advertisements crowd white dressed ;0;top;
595922;advertisement audience cameraman ;0;top;
595922;advertisement audience cameraman champions ;0;top;
595922;advertisement audience cameraman  ;0;top;
595922;advertisement audience cameraman wizard ;0;top;
595922;advertisement audience cameraman ;0;top;
595922;advertisement audience cameraman men sitting ;1;top;1
595922;advertisement audience cameraman men sitting white wall ;0;top;
595922;advertisement audience cameraman men sitting white ;0;top;
595922;advertisement audience cameraman men sitting ;1;top;1
595922;advertisement audience cameraman men sitting billboard ;0;top;
595922;advertisement audience cameraman men sitting board ;0;top;
595922;advertisement audience cameraman men sitting poster ;0;top;
595922;advertisement audience cameraman men sitting;0;top;
595922;advertisement audience cameraman ;1;top;1
595922;advertisement audience cameraman champion ;0;top;
595922;advertisement audience cameraman interview ;1;top;1
595922;advertisement audience cameraman interview outside ;2;top;1,1
595922;spectators cameraman advertisements ;2;top;1,1
595922;spectators cameraman advertisements fans ;6;top;2,2,1,5,1,5
609301;snow sled kid mom drag ;0;som;
609301;snow sled kid mom drag old ;0;som;
312770;create man transparent bush wall ;2;top;1,1
312770;create man transparent bush wall stone writing ;0;top;
312770;create man transparent bush wall stone;7;top;3,1,4,2,2,3,4
312770;man transparent bush wall stone;1;top;2
312770;man transparent bush wall stone shirt  lettering ;4;top;2,4,1,2
733324;hand shaking woman bracelet blouse ;0;som;
733324;hand shaking woman bracelet blouse green ;0;som;
733324;hand shaking woman bracelet blouse green park ;0;som;
733324;hand woman bracelet blouse green park ;4;som;2,2,2,1
733324;hand woman bracelet blouse green  ;0;som;
733324;woman handshake park green ;0;som;
733324;woman handshake park green close ;2;som;1,2
733324;woman handshake park green blouse ;3;som;1,1,3
578004;screen blurry tree room ;0;top;
578004;screen blurry tree room shine ;0;top;
578004;screen blurry room shine ;1;top;3
633863;knife board ;4;som;1,4,3,1
757607;wheelchair sport coach ;4;top;1,5,5,2
405349;lemon peels cooking ;2;som;1,3
380564;black person microphone speaking ;2;top;1,3
828435;house chair garden fence ;11;som;4,3,2,1,1,4,1,1,2,1,3
828435;house chair garden fence old ;1;som;1
828435;house chair garden fence old yellow ;7;som;3,1,2,3,1,3,2
783244;sidewalk city bicycle ;5;top;2,3,2,2,3
783244;sidewalk city bicycle pavement ;14;top;2,2,3,2,2,1,3,3,2,3,2,5,4,2
783244;sidewalk city bicycle pavement stripes ;3;top;3,3,1
783244;sidewalk city  ;1;top;2
783244;sidewalk city pavement ;12;top;2,2,2,2,2,3,2,2,1,2,1,2
1003086;man guitar playing ;4;som;1,1,2,2
281943;forest bicycle jump ;3;top;1,2,3
1080823;building church white ;1;som;1
1080823;building white mosque;0;som;
1080823;building white church ;0;som;
1080823;building white church sky ;3;som;2,2,2
1080823;building white church sky architecture ;2;som;1,2
1080823;building white church sky architecture muslim ;0;som;
1080823;building white church sky muslim ;3;som;4,3,3
744979;room blurry peephole ;0;top;
744979;room blurry peephole round ;1;top;2
744979;room blurry peephole people ;17;top;2,1,2,3,4,2,4,3,3,1,3,2,2,3,13,3,2
541161;bedroom window bed white ;3;som;1,3,1
1147086;men covered fog smoke ;0;top;
1147086;men covered fog smoke lights ;0;top;
1147086;men fog smoke lights mask ;12;top;1,2,4,3,2,2,4,2,1,2,2,4
343;indian people room color ;3;som;2,3,1
647700;men gun smoking ;0;top;
647700;men gun smoking two ;0;top;
647700;men gun smoking two belt ;0;top;
647700;men suit guns sky ;0;top;
647700;men suit guns sky movie ;0;top;
647700;men suit guns sky ;0;top;
647700;men suit guns sky talkign ;1;top;3
20379;tree winter snow sky ;2;som;2,1
